"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior"
202312,"2023","04","Balears, Illes","07","Balears, Illes",0,134367,6555,25863,26798,5508,32127,37477,1160,3619,6421,119812,3229
202301,"2023","09","Cataluña","08","Barcelona",0,353408,12334,53836,91165,10328,68151,116849,3157,50045,22261,255006,22306
202302,"2023","09","Cataluña","08","Barcelona",0,353783,13102,53762,91108,10971,67403,116699,3037,49825,22242,254733,23313
202303,"2023","09","Cataluña","08","Barcelona",0,352929,13440,53509,90841,11156,66894,116345,2977,49997,22359,252589,24346
202304,"2023","09","Cataluña","08","Barcelona",0,342757,12508,50932,88359,10375,64991,114862,2890,47964,22153,244801,24302
202305,"2023","09","Cataluña","08","Barcelona",0,338205,11943,49089,86696,10213,64746,114761,2725,44203,22062,243765,24782
202306,"2023","09","Cataluña","08","Barcelona",0,337117,11523,47280,84138,9789,65124,118572,2679,41225,21748,245943,24852
202307,"2023","09","Cataluña","08","Barcelona",0,347365,11203,48166,84128,10117,69235,123851,2672,41538,21939,255952,24610
202308,"2023","09","Cataluña","08","Barcelona",0,354375,11199,49908,84985,10374,72682,124543,2585,41939,22283,263217,23732
202309,"2023","09","Cataluña","08","Barcelona",0,335310,11841,48422,84153,10005,65842,114406,2782,40902,22022,245011,23947
202310,"2023","09","Cataluña","08","Barcelona",0,342202,12638,50202,85393,10501,66872,115907,3101,41592,22214,250097,24549
202311,"2023","09","Cataluña","08","Barcelona",0,349362,13502,51839,86565,11034,68149,117639,3184,41827,22341,256019,25372
202312,"2023","09","Cataluña","08","Barcelona",0,356269,13151,53928,88708,10690,69768,119371,3235,42312,22971,261757,25326
202301,"2023","07","Castilla y León","09","Burgos",0,22798,735,3039,5439,546,4302,7645,1006,3441,1108,15225,1213
202302,"2023","07","Castilla y León","09","Burgos",0,23290,859,3105,5356,667,4366,7815,949,3433,1052,15638,1373
202303,"2023","07","Castilla y León","09","Burgos",0,22976,868,3037,5274,696,4232,7780,989,3337,1011,15363,1474
202304,"2023","07","Castilla y León","09","Burgos",0,22337,811,2923,5124,650,4082,7713,962,3275,995,14801,1509
202305,"2023","07","Castilla y León","09","Burgos",0,21519,752,2779,4886,618,3881,7585,770,3165,1005,14343,1502
202306,"2023","07","Castilla y León","09","Burgos",0,20778,723,2583,4701,585,3727,7467,715,3030,935,13850,1495
202307,"2023","07","Castilla y León","09","Burgos",0,21121,662,2607,4691,565,3893,7757,844,2991,912,14261,1395
202308,"2023","07","Castilla y León","09","Burgos",0,21409,691,2722,4728,562,3937,7802,994,2966,935,14425,1339
202309,"2023","07","Castilla y León","09","Burgos",0,20511,757,2597,4617,617,3676,7312,628,3086,938,13816,1328
202310,"2023","07","Castilla y León","09","Burgos",0,21669,831,2782,4887,679,3833,7606,1288,3044,937,14324,1315
202311,"2023","07","Castilla y León","09","Burgos",0,22188,841,2848,5022,684,3921,7829,1289,3066,970,14779,1320
202312,"2023","07","Castilla y León","09","Burgos",0,22361,814,2952,5175,608,3936,7830,1294,2990,1039,15006,1261
202301,"2023","11","Extremadura","10","Cáceres",0,50776,1878,6639,11854,1760,10671,17209,9677,2423,5179,30374,2435
202302,"2023","11","Extremadura","10","Cáceres",0,50724,1873,6556,11707,1822,10702,17297,9596,2375,5186,30371,2503
202303,"2023","11","Extremadura","10","Cáceres",0,48889,1827,6183,11211,1783,10199,16920,9058,2260,5040,29232,2609
202304,"2023","11","Extremadura","10","Cáceres",0,46687,1661,5621,10691,1678,9636,16584,8462,2120,4792,28032,2584
202305,"2023","11","Extremadura","10","Cáceres",0,44205,1497,5100,10234,1573,8937,16009,7708,2012,4198,27034,2511
202306,"2023","11","Extremadura","10","Cáceres",0,44374,1524,5049,10342,1586,8862,16080,7888,2078,4188,26889,2610
202307,"2023","11","Extremadura","10","Cáceres",0,44702,1457,5289,10590,1449,8789,16269,8463,2142,4223,26633,2559
202308,"2023","11","Extremadura","10","Cáceres",0,45638,1587,5652,10830,1539,8936,16286,8643,2165,4427,27239,2487
202309,"2023","11","Extremadura","10","Cáceres",0,46410,1898,5591,10672,1741,9230,16480,8353,2187,4490,28120,2527
202310,"2023","11","Extremadura","10","Cáceres",0,48062,1949,5935,11034,1801,9692,16867,9056,2254,4570,29016,2442
202311,"2023","11","Extremadura","10","Cáceres",0,47362,1800,5816,11036,1697,9389,16753,8908,2274,4503,28592,2394
202312,"2023","11","Extremadura","10","Cáceres",0,47965,1780,6084,11581,1614,9322,16766,9317,2420,4922,28351,2294
202301,"2023","01","Andalucía","11","Cádiz",0,210803,8173,31630,44441,8333,50004,68209,14039,13055,16928,144939,21827
202302,"2023","01","Andalucía","11","Cádiz",0,208559,8208,30717,43609,8502,49547,67966,14017,12757,16817,142578,22372
202303,"2023","01","Andalucía","11","Cádiz",0,201506,8122,28784,42206,8379,47302,66703,13296,12561,16250,136749,22635
202304,"2023","01","Andalucía","11","Cádiz",0,192431,7583,26640,40724,7700,44550,65222,12145,12178,15997,129870,22220
202305,"2023","01","Andalucía","11","Cádiz",0,188679,7254,25903,40189,7462,43363,64495,11530,11972,15751,127688,21721
202306,"2023","01","Andalucía","11","Cádiz",0,185340,6926,25036,39689,7172,42098,64410,12363,11556,15688,124335,21381
202307,"2023","01","Andalucía","11","Cádiz",0,184960,6824,25114,40146,6861,41525,64479,13526,11533,15861,123187,20835
202308,"2023","01","Andalucía","11","Cádiz",0,186387,6760,25501,40537,6903,42025,64654,13682,11573,16153,124524,20435
202309,"2023","01","Andalucía","11","Cádiz",0,191551,7374,26678,41024,7734,43699,65034,12989,11815,16022,129670,21033
202310,"2023","01","Andalucía","11","Cádiz",0,198330,7812,27929,42105,8101,45643,66725,13304,11813,16023,135909,21262
202311,"2023","01","Andalucía","11","Cádiz",0,202386,7859,28426,42552,8260,47156,68121,12445,11746,15961,140740,21479
202312,"2023","01","Andalucía","11","Cádiz",0,200984,7565,28762,43391,7707,45528,68024,12773,12122,16845,138353,20875
202301,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,66142,2934,10072,15998,2586,13928,20083,2951,12240,3487,42883,4182
202302,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,66827,2973,9983,15953,2620,14065,20677,3056,12286,3491,43265,4311
202303,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,66517,2955,9738,15964,2611,13828,20909,3167,12285,3536,42638,4489
202304,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,65887,2783,9477,15816,2500,13521,21248,3256,12311,3548,41823,4564
202305,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,66596,2621,9314,15979,2490,13588,22009,3570,12185,3477,42347,4605
202306,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,66277,2442,9110,15932,2237,13414,22545,3706,12071,3477,42029,4571
202307,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,66472,2341,9173,15929,2127,13504,22842,3452,12035,3466,42598,4510
202308,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,68220,2359,9572,16439,2181,13994,23104,3388,12426,3688,43899,4408
202309,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,67687,2739,9858,16608,2421,13477,22056,3182,12818,3664,43058,4544
202310,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,65119,2772,9609,16161,2488,12957,20564,2499,12693,3589,41289,4623
202311,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,65656,2868,9843,16366,2488,12925,20615,2387,12835,3576,41813,4626
202312,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,67047,2882,10302,16949,2425,13092,20861,2530,13263,3780,42506,4548
202301,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,52622,2108,6638,10584,2313,12699,18031,5528,3932,3662,35215,4042
202302,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,52590,2104,6713,10535,2297,12612,18062,5881,3872,3511,35039,4047
202303,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,51865,2110,6586,10363,2281,12279,17969,6030,3867,3406,34226,4112
202304,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,49925,2009,6175,10114,2093,11635,17616,5769,3771,3302,32801,4044
202305,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,47264,1890,5603,9565,1963,10920,17052,5024,3654,3095,31252,3985
202306,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,47318,1921,5584,9620,2024,10811,17093,5050,3612,3139,31136,4121
202307,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,48130,1846,5778,9750,1957,11183,17355,5077,3649,3219,31911,4019
202308,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,48547,1831,5915,9751,2000,11400,17405,4718,3661,3497,32354,4051
202309,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,47911,1891,5632,9500,2161,11178,17299,4158,3644,3258,32421,4135
202310,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,50362,2036,6157,10164,2231,11656,17870,5176,3753,3235,33804,4132
202311,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,50986,2012,6044,10117,2310,12006,18249,4671,3801,3293,34723,4238
202312,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,50766,1909,6262,10253,2116,11829,18165,4605,3874,3552,34372,4085
202301,"2023","01","Andalucía","14","Córdoba",0,112074,4260,14265,22613,4859,24259,41761,21647,8526,12848,60624,8367
202302,"2023","01","Andalucía","14","Córdoba",0,117511,4635,15261,23572,5058,25340,43579,27305,8564,12667,60289,8632
202303,"2023","01","Andalucía","14","Córdoba",0,118918,4822,15458,23975,5002,25461,44138,29294,8446,12814,59567,8743
202304,"2023","01","Andalucía","14","Córdoba",0,118048,4660,15190,24241,4768,25067,44059,29361,8323,13142,58515,8633
202305,"2023","01","Andalucía","14","Córdoba",0,117629,4647,15074,24425,4682,24821,43938,28378,8257,13719,58813,8384
202306,"2023","01","Andalucía","14","Córdoba",0,118878,4649,15333,24688,4762,25018,44384,27428,8247,14576,60108,8457
202307,"2023","01","Andalucía","14","Córdoba",0,120739,4731,15911,25151,4818,25416,44659,27358,8348,15622,60823,8509
202308,"2023","01","Andalucía","14","Córdoba",0,120418,4684,15802,24914,4889,25637,44426,25412,8788,16249,61419,8474
202309,"2023","01","Andalucía","14","Córdoba",0,117993,4594,15028,24097,4938,25210,44057,23086,8630,15883,61701,8603
202310,"2023","01","Andalucía","14","Córdoba",0,118148,4571,15015,24279,4873,25159,44196,23246,8511,15676,62169,8452
202311,"2023","01","Andalucía","14","Córdoba",0,110632,4044,13245,22220,4760,23805,42485,18778,8157,14005,61296,8304
202312,"2023","01","Andalucía","14","Córdoba",0,106659,3845,12949,21801,4374,22467,41139,17579,8227,13315,59539,7917
202301,"2023","12","Galicia","15","Coruña, A",0,85538,2731,12640,20823,2715,18211,28314,2650,9428,5575,60038,7773
202302,"2023","12","Galicia","15","Coruña, A",0,85748,2839,12635,20683,2811,18194,28464,2495,9363,5539,60228,8036
