"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios","Total Contratos_min","Cod min_mes","Total Contratos_max","Cod max_mes"
"2018","09215",7,"Castilla y León",9,"Burgos","Merindad de Sotoscueva",11.25,0,4.42,0.67,0.17,5.25,0.75,0.25,0.25,0.75,10,0,"12",34,"07"
"2018","09216",7,"Castilla y León",9,"Burgos","Merindad de Valdeporres",6.75,0.08,2.17,0.42,0.17,3.58,0.33,0.5,1.17,0.25,4.83,1,"12",13,"07"
"2018","09217",7,"Castilla y León",9,"Burgos","Merindad de Valdivielso",4.5,0,1.92,0.08,0.33,2.08,0.08,0.33,0.33,0.33,3.5,0,"02",12,"06"
"2018","09218",7,"Castilla y León",9,"Burgos","Milagros",11.83,0.83,6.08,0.92,0.17,3.33,0.5,1,4.33,0.25,6.25,3,"12",19,"09"
"2018","09219",7,"Castilla y León",9,"Burgos","Miranda de Ebro",797,25.42,363.67,30.42,24.33,328.92,24.25,3.33,282.08,40.92,470.67,681,"04",991,"07"
"2018","09220",7,"Castilla y León",9,"Burgos","Miraveche",0.5,0,0.33,0,0.08,0.08,0,0,0,0,0.5,0,"01",2,"05"
"2018","09221",7,"Castilla y León",9,"Burgos","Modúbar de la Emparedada",3.75,0,1.25,1.33,0.08,1,0.08,0,1.5,0.58,1.67,0,"02",14,"01"
"2018","09223",7,"Castilla y León",9,"Burgos","Monasterio de la Sierra",0.17,0,0.17,0,0,0,0,0,0,0,0.17,0,"01",1,"06"
"2018","09224",7,"Castilla y León",9,"Burgos","Monasterio de Rodilla",3.5,0.5,0.92,0.08,0.08,1.83,0.08,0.08,0.92,0,2.5,0,"12",8,"07"
"2018","09225",7,"Castilla y León",9,"Burgos","Moncalvillo",0.33,0,0.33,0,0,0,0,0,0.08,0.25,0,0,"01",3,"10"
"2018","09226",7,"Castilla y León",9,"Burgos","Monterrubio de la Demanda",0.58,0,0.42,0,0,0.17,0,0,0,0,0.58,0,"01",6,"08"
"2018","09227",7,"Castilla y León",9,"Burgos","Montorio",4.33,0.25,2.67,0.33,0,1.08,0,1.58,1.5,0,1.25,0,"02",9,"09"
"2018","09228",7,"Castilla y León",9,"Burgos","Moradillo de Roa",8.83,0.08,6.83,0,0,1.83,0.08,7.25,0.08,0,1.5,0,"11",65,"10"
"2018","09229",7,"Castilla y León",9,"Burgos","Nava de Roa",2.92,0.08,2.17,0.17,0.08,0.33,0.08,2.33,0.5,0,0.08,0,"02",14,"10"
"2018","09230",7,"Castilla y León",9,"Burgos","Navas de Bureba",0.08,0,0,0,0,0.08,0,0,0.08,0,0,0,"01",1,"03"
"2018","09231",7,"Castilla y León",9,"Burgos","Nebreda",0.25,0,0.17,0,0,0.08,0,0,0,0,0.25,0,"01",2,"03"
"2018","09232",7,"Castilla y León",9,"Burgos","Neila",2.08,0,1.17,0,0,0.92,0,0.17,0.08,0,1.83,0,"05",8,"08"
"2018","09235",7,"Castilla y León",9,"Burgos","Olmedillo de Roa",9.33,0.08,6.75,0.08,0.17,2.25,0,8.08,0.58,0,0.67,0,"08",79,"10"
"2018","09236",7,"Castilla y León",9,"Burgos","Olmillos de Muñó",0.08,0,0.08,0,0,0,0,0,0,0,0.08,0,"01",1,"06"
"2018","09238",7,"Castilla y León",9,"Burgos","Oña",30.5,0.08,20.67,0.08,0.17,9.25,0.25,1.67,0.42,0.58,27.83,2,"11",72,"05"
"2018","09239",7,"Castilla y León",9,"Burgos","Oquillas",0.33,0,0.17,0.08,0,0.08,0,0.08,0,0,0.25,0,"01",1,"02"
"2018","09241",7,"Castilla y León",9,"Burgos","Orbaneja Riopico",2,0,1.17,0.08,0.08,0.67,0,0,0.08,0.17,1.75,0,"02",8,"12"
"2018","09242",7,"Castilla y León",9,"Burgos","Padilla de Abajo",0.5,0,0.33,0,0.17,0,0,0.17,0,0,0.33,0,"02",1,"01"
"2018","09243",7,"Castilla y León",9,"Burgos","Padilla de Arriba",1.08,0.17,0.83,0,0,0.08,0,0.67,0,0,0.42,0,"02",5,"08"
"2018","09244",7,"Castilla y León",9,"Burgos","Padrones de Bureba",0.42,0,0.25,0,0,0.17,0,0,0,0.25,0.17,0,"01",2,"05"
"2018","09246",7,"Castilla y León",9,"Burgos","Palacios de la Sierra",16.33,0.75,5.5,0.83,0.33,8.92,0,0.17,4.58,0.25,11.33,7,"04",36,"07"
"2018","09247",7,"Castilla y León",9,"Burgos","Palacios de Riopisuerga",0,0,0,0,0,0,0,0,0,0,0,0,"01",0,"01"
"2018","09248",7,"Castilla y León",9,"Burgos","Palazuelos de la Sierra",0.25,0.08,0.08,0,0,0.08,0,0,0,0,0.25,0,"01",1,"05"
"2018","09249",7,"Castilla y León",9,"Burgos","Palazuelos de Muñó",0.08,0,0.08,0,0,0,0,0,0,0,0.08,0,"01",1,"04"
"2018","09250",7,"Castilla y León",9,"Burgos","Pampliega",2.33,0,0.83,0,0.08,1.33,0.08,0.42,0,0.17,1.75,0,"05",6,"07"
"2018","09251",7,"Castilla y León",9,"Burgos","Pancorbo",13.92,0.83,5.83,1.08,0.5,5.33,0.33,0.5,2.33,0.58,10.5,5,"01",26,"08"
"2018","09253",7,"Castilla y León",9,"Burgos","Pardilla",1.83,0,1,0,0.08,0.75,0,0.75,0.17,0.33,0.58,0,"02",7,"10"
"2018","09255",7,"Castilla y León",9,"Burgos","Partido de la Sierra en Tobalina",0.5,0,0.42,0,0,0.08,0,0.42,0,0,0.08,0,"01",3,"10"
"2018","09256",7,"Castilla y León",9,"Burgos","Pedrosa de Duero",56.33,0.33,44.5,0.75,0.08,10.17,0.5,47.33,7.17,0.83,1,7,"11",396,"10"
"2018","09257",7,"Castilla y León",9,"Burgos","Pedrosa del Páramo",0.33,0.08,0.17,0,0,0.08,0,0,0,0.08,0.25,0,"01",2,"05"
"2018","09258",7,"Castilla y León",9,"Burgos","Pedrosa del Príncipe",0.67,0.08,0.17,0,0,0.42,0,0.08,0,0,0.58,0,"01",2,"05"
"2018","09259",7,"Castilla y León",9,"Burgos","Pedrosa de Río Úrbel",1.5,0,1,0,0.17,0.33,0,0.67,0,0.25,0.58,0,"03",7,"05"
"2018","09261",7,"Castilla y León",9,"Burgos","Peñaranda de Duero",10,0.33,5,0.17,0.17,4.17,0.17,4.17,0.42,0.67,4.75,3,"02",49,"10"
"2018","09262",7,"Castilla y León",9,"Burgos","Peral de Arlanza",0.67,0,0.5,0,0.08,0.08,0,0.25,0,0.17,0.25,0,"01",4,"06"
"2018","09265",7,"Castilla y León",9,"Burgos","Piérnigas",0.17,0,0.17,0,0,0,0,0,0,0,0.17,0,"01",1,"05"
"2018","09266",7,"Castilla y León",9,"Burgos","Pineda de la Sierra",8.33,0.08,1.75,0.08,0.17,6.25,0,0,0,0.17,8.17,0,"09",18,"04"
"2018","09267",7,"Castilla y León",9,"Burgos","Pineda Trasmonte",0.25,0,0.08,0,0,0.17,0,0,0,0,0.25,0,"01",1,"02"
"2018","09268",7,"Castilla y León",9,"Burgos","Pinilla de los Barruecos",1.42,0,1.25,0.17,0,0,0,0.08,0,1.25,0.08,0,"01",4,"04"
"2018","09269",7,"Castilla y León",9,"Burgos","Pinilla de los Moros",0.25,0,0.17,0.08,0,0,0,0.08,0,0.08,0.08,0,"01",1,"04"
"2018","09270",7,"Castilla y León",9,"Burgos","Pinilla Trasmonte",1,0,0.83,0,0,0.17,0,0.33,0,0,0.67,0,"02",4,"07"
"2018","09272",7,"Castilla y León",9,"Burgos","Poza de la Sal",3.17,0.08,1.92,0.08,0,1.08,0,0.08,0.42,0.58,2.08,0,"04",10,"07"
"2018","09273",7,"Castilla y León",9,"Burgos","Prádanos de Bureba",0.25,0,0.17,0,0,0.08,0,0.08,0.08,0,0.08,0,"01",2,"04"
"2018","09274",7,"Castilla y León",9,"Burgos","Pradoluengo",13.5,0.25,5.67,0.25,0.42,5.92,1,0.25,6.08,0.42,6.75,5,"08",29,"11"
"2018","09275",7,"Castilla y León",9,"Burgos","Presencio",1,0,0.5,0.08,0,0.42,0,0,0.08,0,0.92,0,"05",7,"09"
"2018","09276",7,"Castilla y León",9,"Burgos","Puebla de Arganzón, La",5.67,0.5,2,0.25,0.67,1.92,0.33,0.67,0.42,0.08,4.5,2,"05",16,"09"
"2018","09277",7,"Castilla y León",9,"Burgos","Puentedura",1.75,0.08,0.92,0,0,0.75,0,0,0,0.08,1.67,0,"01",7,"06"
"2018","09279",7,"Castilla y León",9,"Burgos","Quemada",8.67,0.08,5.75,0.33,0.25,2.17,0.08,6.5,0.67,0.42,1.08,2,"03",40,"10"
