"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios"
202308,"2023","04","Balears, Illes","07","Balears, Illes",0,31113,11100,5326,245,8640,5340,274,285,631,1922,28118
202309,"2023","04","Balears, Illes","07","Balears, Illes",0,31255,10928,5167,322,8726,5514,377,197,843,3398,26658
202310,"2023","04","Balears, Illes","07","Balears, Illes",0,26994,8978,5064,278,6682,5535,249,145,890,3625,22193
202311,"2023","04","Balears, Illes","07","Balears, Illes",0,24405,9646,3509,286,6008,4440,288,133,968,4349,18799
202312,"2023","04","Balears, Illes","07","Balears, Illes",0,16860,5590,3087,184,3723,3804,240,84,539,2291,13793
202301,"2023","09","Cataluña","08","Barcelona",0,143523,30221,38501,2789,26152,42284,2734,347,20729,6679,115276
202302,"2023","09","Cataluña","08","Barcelona",0,143776,30772,38915,2441,26166,42393,2324,399,17045,7027,118840
202303,"2023","09","Cataluña","08","Barcelona",0,160072,36572,42129,3293,30594,43377,3201,507,20675,7688,130724
202304,"2023","09","Cataluña","08","Barcelona",0,133859,30856,35082,2170,25902,36797,2125,482,18450,5534,108937
202305,"2023","09","Cataluña","08","Barcelona",0,165229,36774,45473,2389,30223,47176,2318,925,21218,7039,135597
202306,"2023","09","Cataluña","08","Barcelona",0,177621,37673,51905,2166,30781,52456,1846,266,22230,6655,147983
202307,"2023","09","Cataluña","08","Barcelona",0,173598,35088,51956,2201,28584,52972,1886,315,22156,6157,144504
202308,"2023","09","Cataluña","08","Barcelona",0,116555,23613,34698,1447,18496,36005,1407,951,16781,4017,94386
202309,"2023","09","Cataluña","08","Barcelona",0,160003,36676,40718,2208,35064,42115,2299,617,20901,6695,131325
202310,"2023","09","Cataluña","08","Barcelona",0,172731,36870,46657,2128,33703,50170,2306,344,20726,6523,144647
202311,"2023","09","Cataluña","08","Barcelona",0,175390,33716,52887,1954,29293,54816,1858,433,19383,6177,148943
202312,"2023","09","Cataluña","08","Barcelona",0,124881,21927,37924,1751,18840,41870,1607,221,15240,3565,105379
202301,"2023","07","Castilla y León","09","Burgos",0,7243,1130,2472,151,833,2294,141,258,2372,300,4202
202302,"2023","07","Castilla y León","09","Burgos",0,6534,1145,1887,123,926,2078,87,258,1552,295,4293
202303,"2023","07","Castilla y León","09","Burgos",0,7889,1282,2405,156,1025,2530,157,247,1992,297,5168
202304,"2023","07","Castilla y León","09","Burgos",0,6754,1091,1903,122,971,2165,110,176,1520,221,4667
202305,"2023","07","Castilla y León","09","Burgos",0,9232,1795,2645,155,1235,2818,132,978,1844,288,5930
202306,"2023","07","Castilla y León","09","Burgos",0,10269,1523,3343,152,1253,3465,107,416,2310,258,7124
202307,"2023","07","Castilla y León","09","Burgos",0,9776,1356,3192,113,1086,3436,100,288,2183,331,6775
202308,"2023","07","Castilla y León","09","Burgos",0,8278,981,2881,136,756,3072,97,148,1626,222,6143
202309,"2023","07","Castilla y León","09","Burgos",0,11103,2292,3253,139,1770,3099,132,1870,2368,233,6424
202310,"2023","07","Castilla y León","09","Burgos",0,9918,1792,2707,131,1587,3062,153,853,2126,263,6465
202311,"2023","07","Castilla y León","09","Burgos",0,7644,1095,2209,172,1050,2558,191,140,1918,200,5230
202312,"2023","07","Castilla y León","09","Burgos",0,6747,806,2000,138,773,2669,139,67,1705,115,4772
202301,"2023","11","Extremadura","10","Cáceres",0,7930,1333,2441,151,774,2453,114,2216,505,904,3889
202302,"2023","11","Extremadura","10","Cáceres",0,7467,1182,2342,107,735,2324,132,1781,315,1104,3887
202303,"2023","11","Extremadura","10","Cáceres",0,10247,1811,2956,224,1147,3242,165,2325,613,1325,5596
202304,"2023","11","Extremadura","10","Cáceres",0,9379,1599,2884,116,1035,3010,81,1988,860,957,5162
202305,"2023","11","Extremadura","10","Cáceres",0,13045,2481,3852,87,1720,4244,64,4396,582,917,6769
202306,"2023","11","Extremadura","10","Cáceres",0,11640,1978,3429,106,1437,3892,103,3411,503,798,6540
202307,"2023","11","Extremadura","10","Cáceres",0,11756,1841,3636,123,1211,4171,60,2548,713,835,7318
202308,"2023","11","Extremadura","10","Cáceres",0,9436,1510,3087,68,921,3262,60,2002,758,842,5467
202309,"2023","11","Extremadura","10","Cáceres",0,10926,2452,3079,66,1455,3219,47,3312,494,946,5747
202310,"2023","11","Extremadura","10","Cáceres",0,10657,2059,3238,99,1277,3217,106,3000,648,987,5564
202311,"2023","11","Extremadura","10","Cáceres",0,11106,1818,3436,76,1029,3939,82,3262,550,1256,5566
202312,"2023","11","Extremadura","10","Cáceres",0,8417,1230,2402,88,784,3201,72,1958,309,807,4871
202301,"2023","01","Andalucía","11","Cádiz",0,24052,5222,7727,713,2767,6980,529,2872,2012,2840,16273
202302,"2023","01","Andalucía","11","Cádiz",0,23647,5024,7708,638,2707,7088,404,2260,2275,2785,16270
202303,"2023","01","Andalucía","11","Cádiz",0,31045,6675,9495,793,4147,9364,483,2433,2434,3360,22773
202304,"2023","01","Andalucía","11","Cádiz",0,30289,6128,9474,620,3901,9641,444,3046,2083,2589,22502
202305,"2023","01","Andalucía","11","Cádiz",0,37740,6534,12942,639,4561,12475,518,3537,2596,2749,28812
202306,"2023","01","Andalucía","11","Cádiz",0,40189,7679,12874,530,5436,13216,380,3455,2438,2662,31578
202307,"2023","01","Andalucía","11","Cádiz",0,40661,7391,13111,678,5170,13744,494,2461,2455,2477,33202
202308,"2023","01","Andalucía","11","Cádiz",0,31114,4942,11485,455,2935,10839,379,4216,2066,2141,22648
202309,"2023","01","Andalucía","11","Cádiz",0,30426,5674,9670,573,3658,10185,577,2440,2455,2626,22847
202310,"2023","01","Andalucía","11","Cádiz",0,31236,5609,10127,599,3893,10301,606,3184,2502,2719,22768
202311,"2023","01","Andalucía","11","Cádiz",0,29998,5556,10340,478,3284,9818,423,5136,2267,2631,19923
202312,"2023","01","Andalucía","11","Cádiz",0,25824,3735,8985,519,2359,9688,439,3700,1893,1764,18408
202301,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,10835,3029,2117,275,2126,2793,233,1046,1429,650,7593
202302,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,10974,3725,2018,270,2446,2064,189,1849,1283,851,6854
202303,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,13302,3925,2958,386,2841,2723,211,1420,1776,940,9011
202304,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,11513,3200,2266,254,2778,2521,192,698,1254,628,8762
