"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcción","Paro Servicios","Paro Sin empleo Anterior"
202302,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,36498,1357,4783,7963,1198,8445,12245,1105,4664,2477,24821,2996
202303,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,36220,1381,4712,8003,1197,8226,12186,1080,4691,2482,24380,3144
202304,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,35896,1305,4631,7956,1133,8136,12173,1141,4629,2486,23975,3199
202305,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,35537,1225,4418,7949,1104,8003,12203,1247,4620,2449,23541,3220
202306,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,34702,1161,4295,7836,1059,7778,11978,1210,4595,2434,22778,3226
202307,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,34554,1197,4289,7812,1051,7760,11827,1147,4654,2457,22615,3207
202308,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,34982,1195,4472,7923,1090,7910,11821,1090,4744,2570,22911,3202
202309,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,35384,1390,4552,7901,1192,7808,11963,1054,4787,2546,23214,3302
202310,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,35597,1460,4552,7889,1269,7800,12077,988,4845,2525,23420,3387
202311,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,35246,1298,4579,7945,1082,7700,12086,963,4866,2515,23297,3158
202312,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,35618,1287,4783,8185,1062,7685,12104,954,5034,2639,23427,3141
202301,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,39681,1364,4625,7201,1499,10134,14589,2833,2789,2936,27751,3083
202302,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,39217,1338,4517,7058,1478,9992,14521,2859,2731,2778,27450,3107
202303,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,38436,1352,4352,6861,1485,9703,14363,2833,2711,2691,26745,3172
202304,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,36626,1261,4000,6570,1304,9134,14043,2624,2620,2596,25436,3066
202305,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,34872,1154,3706,6259,1219,8643,13561,2373,2562,2400,24252,2976
202306,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,34517,1206,3695,6229,1275,8402,13418,2349,2535,2407,23847,3075
202307,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,34964,1203,3787,6309,1310,8621,13429,2316,2536,2479,24296,3053
202308,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,35385,1215,3894,6379,1358,8781,13462,2222,2561,2660,24600,3069
202309,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,35760,1269,3827,6378,1498,8797,13677,2090,2585,2492,25092,3202
202310,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,36724,1303,3926,6566,1528,9031,14051,2151,2615,2435,26018,3181
202311,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,37291,1288,3906,6713,1573,9171,14349,2054,2624,2508,26517,3264
202312,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,36804,1206,3956,6763,1413,8966,14197,1992,2621,2672,26067,3143
202301,"2023","01","Andalucía","14","Córdoba",0,64509,2524,8886,13497,2831,15899,20756,5389,5970,5173,41588,6255
202302,"2023","01","Andalucía","14","Córdoba",0,64838,2717,8925,13477,2949,15826,20816,5754,5952,5136,41338,6537
202303,"2023","01","Andalucía","14","Córdoba",0,63874,2837,8669,13174,2958,15439,20661,5759,5811,4980,40487,6693
202304,"2023","01","Andalucía","14","Córdoba",0,62746,2612,8390,13012,2740,15228,20649,5656,5712,4888,39965,6381
202305,"2023","01","Andalucía","14","Córdoba",0,62146,2628,8234,12880,2659,15123,20525,5444,5605,4860,39906,6206
202306,"2023","01","Andalucía","14","Córdoba",0,61686,2631,8243,12722,2682,14938,20366,5306,5513,4826,39728,6193
202307,"2023","01","Andalucía","14","Córdoba",0,61864,2766,8319,12797,2861,14844,20168,5298,5532,4965,39546,6402
202308,"2023","01","Andalucía","14","Córdoba",0,62593,2817,8453,12989,2954,15097,20175,5128,5753,5159,39973,6454
202309,"2023","01","Andalucía","14","Córdoba",0,63640,2861,8550,12942,3065,15543,20572,4980,5761,5034,41070,6660
202310,"2023","01","Andalucía","14","Córdoba",0,63450,2782,8466,12968,3018,15416,20688,5051,5727,4974,41033,6517
202311,"2023","01","Andalucía","14","Córdoba",0,61710,2538,8012,12667,2976,14935,20478,4641,5508,4885,40130,6388
202312,"2023","01","Andalucía","14","Córdoba",0,60093,2374,7879,12619,2716,14235,20170,4544,5436,5045,38826,6092
202301,"2023","12","Galicia","15","Coruña, A",0,58296,1007,8640,14404,1041,13015,20006,1370,5803,4341,41789,4836
202302,"2023","12","Galicia","15","Coruña, A",0,57961,1055,8624,14270,1086,12825,19916,1374,5593,4328,41543,4974
202303,"2023","12","Galicia","15","Coruña, A",0,56931,1094,8292,14015,1136,12469,19739,1372,5409,4183,40691,5147
202304,"2023","12","Galicia","15","Coruña, A",0,56085,1008,8136,13934,1008,12156,19623,1356,5365,4249,39920,5047
