"Cod mes","Cod anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcci�n","Paro Servicios","Paro Sin empleo Anterior","total Paro Registrado_Min_value","Cod min_mes","total Paro Registrado_Max_value","Cod max_mes"
201101,"2011","45114",8,"Castilla - La Mancha",45,"Toledo","Navamorcuende",61.75,3.83,15.17,17,0.92,15.08,9.75,3.17,1.92,13.33,39.25,4.08,53,"201108",74,"201101"
201101,"2011","45115",8,"Castilla - La Mancha",45,"Toledo","Noblejas",320.58,26.42,97,51.58,16.17,91.42,38,14.08,51.75,113.75,116.67,24.33,296,"201105",344,"201102"
201101,"2011","45116",8,"Castilla - La Mancha",45,"Toledo","Noez",115.67,6,36.17,16.83,5.33,28.08,23.25,6.58,22.25,17,64.42,5.42,98,"201101",133,"201112"
201101,"2011","45117",8,"Castilla - La Mancha",45,"Toledo","Nombela",126.92,5.33,27.75,26.33,6.08,41.17,20.25,1.58,10.5,27.33,79.25,8.25,118,"201104",141,"201111"
201101,"2011","45118",8,"Castilla - La Mancha",45,"Toledo","Nov�s",325,26.33,68.25,62.42,17,100.75,50.25,5.75,36.58,60.83,209.83,12,313,"201107",338,"201112"
201101,"2011","45119",8,"Castilla - La Mancha",45,"Toledo","Numancia de la Sagra",625,50.42,145.5,104.08,40,197.08,87.92,3.42,83.83,88.75,430.75,18.25,586,"201107",682,"201112"
201101,"2011","45120",8,"Castilla - La Mancha",45,"Toledo","Nu�o G�mez",9,0.33,4.67,1,0,2.5,0.5,0,0,2.33,6.67,0,6,"201107",14,"201102"
201101,"2011","45121",8,"Castilla - La Mancha",45,"Toledo","Oca�a",1345.25,68.67,431.83,184.25,76,410.92,173.58,46.83,199.58,225,784.75,89.08,1325,"201110",1381,"201112"
201101,"2011","45122",8,"Castilla - La Mancha",45,"Toledo","Ol�as del Rey",572.75,36.75,164.58,78.5,30.33,185.75,76.83,16.08,57.17,66.75,405.42,27.33,546,"201101",604,"201112"
201101,"2011","45123",8,"Castilla - La Mancha",45,"Toledo","Ont�gola",350.08,19.42,102.92,43.33,15.58,125,43.83,0.92,43.58,69.92,219.5,16.17,327,"201107",369,"201103"
201101,"2011","45124",8,"Castilla - La Mancha",45,"Toledo","Orgaz",220.08,20.08,44.58,34.17,25,65.75,30.5,24.5,44.92,25.5,105.42,19.75,173,"201109",254,"201112"
201101,"2011","45125",8,"Castilla - La Mancha",45,"Toledo","Oropesa",270.83,23.75,60,44.25,14.5,85.42,42.92,9.08,19.83,46.75,180.42,14.75,249,"201105",296,"201112"
201101,"2011","45126",8,"Castilla - La Mancha",45,"Toledo","Otero",48.33,2.42,14.42,6.5,2.08,13.83,9.08,6.5,4.58,4.42,32.08,0.75,45,"201101",56,"201102"
201101,"2011","45127",8,"Castilla - La Mancha",45,"Toledo","Palomeque",115.25,8.92,34.83,22.42,5.17,32.5,11.42,2,18.17,29.58,62.17,3.33,101,"201108",128,"201101"
201101,"2011","45128",8,"Castilla - La Mancha",45,"Toledo","Pantoja",418.83,31,119.58,55,23.42,137.33,52.5,8.17,76.25,67.33,251,16.08,383,"201106",450,"201112"
201101,"2011","45129",8,"Castilla - La Mancha",45,"Toledo","Paredes de Escalona",6,0,0.58,1.08,0,2.58,1.75,0,0.67,0.75,4.5,0.08,3,"201103",8,"201110"
201101,"2011","45130",8,"Castilla - La Mancha",45,"Toledo","Parrillas",30.92,1.75,6.58,8.67,2.42,5.58,5.92,0.83,0.33,3.5,23.75,2.5,26,"201107",39,"201110"
201101,"2011","45131",8,"Castilla - La Mancha",45,"Toledo","Pelahust�n",34.33,3.33,7.5,6.42,0.25,13,3.83,0,0.67,17.75,13.67,2.25,28,"201101",41,"201104"
201101,"2011","45132",8,"Castilla - La Mancha",45,"Toledo","Pepino",199.75,8.83,44.75,31.17,12.17,56.42,46.42,1.17,31.25,17.25,137.17,12.92,185,"201104",225,"201112"
201101,"2011","45133",8,"Castilla - La Mancha",45,"Toledo","Pol�n",403.08,24.5,100.08,71.92,21.58,125.75,59.25,17.67,65.17,61.17,243.33,15.75,386,"201106",425,"201102"
201101,"2011","45134",8,"Castilla - La Mancha",45,"Toledo","Portillo de Toledo",217.75,14.5,62.25,53.83,10.42,49.42,27.33,11.92,53.42,46.5,89,16.92,205,"201107",250,"201112"
