;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
201301;Enero de 2013;1;Andalucía;4;Almería;4076;Purchena;214;14;58;50;12;39;41;6;43;47;93;25
201301;Enero de 2013;1;Andalucía;4;Almería;4077;Rágol;21;0;9;6;1;4;1;2;3;4;11;1
201301;Enero de 2013;1;Andalucía;4;Almería;4078;Rioja;258;19;72;66;8;49;44;20;35;65;114;24
201301;Enero de 2013;1;Andalucía;4;Almería;4079;Roquetas de Mar;10408;421;2763;1977;443;3097;1707;1069;537;1965;6140;697
201301;Enero de 2013;1;Andalucía;4;Almería;4080;Santa Cruz de Marchena;20;1;8;7;0;1;3;0;2;7;9;2
201301;Enero de 2013;1;Andalucía;4;Almería;4081;Santa Fe de Mondújar;56;5;14;14;6;7;10;4;4;14;25;9
201301;Enero de 2013;1;Andalucía;4;Almería;4082;Senés;29;3;7;6;2;9;2;0;3;8;16;2
201301;Enero de 2013;1;Andalucía;4;Almería;4083;Serón;202;6;57;59;5;43;32;9;21;48;109;15
201301;Enero de 2013;1;Andalucía;4;Almería;4084;Sierro;51;3;14;18;1;7;8;3;12;15;18;3
201301;Enero de 2013;1;Andalucía;4;Almería;4085;Somontín;44;3;8;18;0;9;6;3;6;12;18;5
201301;Enero de 2013;1;Andalucía;4;Almería;4086;Sorbas;256;13;68;76;10;56;33;18;36;72;105;25
201301;Enero de 2013;1;Andalucía;4;Almería;4087;Suflí;28;0;7;6;1;8;6;1;10;5;11;1
201301;Enero de 2013;1;Andalucía;4;Almería;4088;Tabernas;485;36;130;111;32;128;48;60;37;93;250;45
201301;Enero de 2013;1;Andalucía;4;Almería;4089;Taberno;70;5;20;17;4;16;8;4;6;11;44;5
201301;Enero de 2013;1;Andalucía;4;Almería;4090;Tahal;33;0;17;5;1;8;2;3;4;7;16;3
201301;Enero de 2013;1;Andalucía;4;Almería;4091;Terque;40;1;4;15;1;12;7;0;4;4;28;4
201301;Enero de 2013;1;Andalucía;4;Almería;4092;Tíjola;375;11;95;99;24;84;62;22;63;99;153;38
201301;Enero de 2013;1;Andalucía;4;Almería;4093;Turre;458;30;114;92;21;138;63;11;18;114;293;22
201301;Enero de 2013;1;Andalucía;4;Almería;4094;Turrillas;10;0;5;4;0;0;1;0;0;1;9;0
201301;Enero de 2013;1;Andalucía;4;Almería;4095;Uleila del Campo;104;2;24;29;2;24;23;7;16;22;47;12
201301;Enero de 2013;1;Andalucía;4;Almería;4096;Urrácal;30;1;5;9;2;7;6;1;2;8;12;7
201301;Enero de 2013;1;Andalucía;4;Almería;4097;Velefique;14;1;3;7;0;2;1;2;0;5;7;0
201301;Enero de 2013;1;Andalucía;4;Almería;4098;Vélez-Blanco;100;10;26;23;5;20;16;8;9;25;47;11
201301;Enero de 2013;1;Andalucía;4;Almería;4099;Vélez-Rubio;578;35;165;122;26;154;76;54;52;135;289;48
201301;Enero de 2013;1;Andalucía;4;Almería;4100;Vera;1481;58;375;303;57;440;248;116;81;302;891;91
201301;Enero de 2013;1;Andalucía;4;Almería;4101;Viator;691;40;183;135;39;196;98;26;53;183;370;59
201301;Enero de 2013;1;Andalucía;4;Almería;4102;Vícar;2620;132;778;537;137;687;349;421;135;515;1345;204
201301;Enero de 2013;1;Andalucía;4;Almería;4103;Zurgena;220;16;62;61;10;43;28;19;14;60;110;17
201301;Enero de 2013;1;Andalucía;4;Almería;4901;Tres Villas, Las;35;1;14;9;2;8;1;9;8;3;12;3
201301;Enero de 2013;1;Andalucía;4;Almería;4902;Ejido, El;7919;353;2191;1575;390;2185;1225;1691;393;1183;3871;781
201301;Enero de 2013;1;Andalucía;4;Almería;4903;Mojonera, La;761;39;213;150;54;181;124;213;46;111;316;75
201301;Enero de 2013;1;Andalucía;11;Cádiz;11001;Alcalá de los Gazules;1049;68;249;156;77;309;190;140;29;163;603;114
201301;Enero de 2013;1;Andalucía;11;Cádiz;11002;Alcalá del Valle;497;35;177;149;40;63;33;163;15;76;206;37
201301;Enero de 2013;1;Andalucía;11;Cádiz;11003;Algar;231;14;54;34;13;68;48;15;20;41;138;17
201301;Enero de 2013;1;Andalucía;11;Cádiz;11004;Algeciras;17825;909;4014;2977;988;5007;3930;318;998;2641;10882;2986
201301;Enero de 2013;1;Andalucía;11;Cádiz;11005;Algodonales;755;53;225;161;60;163;93;196;19;133;361;46
201301;Enero de 2013;1;Andalucía;11;Cádiz;11006;Arcos de la Frontera;6382;332;1658;1201;316;1696;1179;476;312;1830;3102;662
201301;Enero de 2013;1;Andalucía;11;Cádiz;11007;Barbate;5414;259;1367;1005;280;1336;1167;607;498;771;2632;906
201301;Enero de 2013;1;Andalucía;11;Cádiz;11008;Barrios, Los;3625;202;819;579;249;1064;712;114;269;640;2095;507
201301;Enero de 2013;1;Andalucía;11;Cádiz;11009;Benaocaz;108;8;19;19;6;30;26;2;16;5;75;10
201301;Enero de 2013;1;Andalucía;11;Cádiz;11010;Bornos;1130;91;396;259;73;210;101;157;33;331;519;90
201301;Enero de 2013;1;Andalucía;11;Cádiz;11011;Bosque, El;315;23;75;59;17;87;54;7;36;30;203;39
201301;Enero de 2013;1;Andalucía;11;Cádiz;11012;Cádiz;17606;724;4455;2959;743;4985;3740;107;1483;1781;12038;2197
201301;Enero de 2013;1;Andalucía;11;Cádiz;11013;Castellar de la Frontera;522;31;106;90;32;154;109;44;27;75;295;81
201301;Enero de 2013;1;Andalucía;11;Cádiz;11014;Conil de la Frontera;3323;191;900;574;165;901;592;61;135;690;1919;518
201301;Enero de 2013;1;Andalucía;11;Cádiz;11015;Chiclana de la Frontera;14593;751;3782;2470;696;3988;2906;106;1215;3202;7181;2889
201301;Enero de 2013;1;Andalucía;11;Cádiz;11016;Chipiona;3738;231;902;596;256;989;764;305;161;553;2166;553
201301;Enero de 2013;1;Andalucía;11;Cádiz;11017;Espera;556;51;214;126;37;96;32;85;21;179;242;29
201301;Enero de 2013;1;Andalucía;11;Cádiz;11018;Gastor, El;260;20;99;62;18;42;19;55;7;61;126;11
201301;Enero de 2013;1;Andalucía;11;Cádiz;11019;Grazalema;342;21;61;66;25;94;75;11;19;34;243;35
201301;Enero de 2013;1;Andalucía;11;Cádiz;11020;Jerez de la Frontera;36346;1852;8483;6692;1643;9351;8325;1248;2497;6124;20915;5562
201301;Enero de 2013;1;Andalucía;11;Cádiz;11021;Jimena de la Frontera;1535;90;377;289;90;408;281;155;63;294;766;257
201301;Enero de 2013;1;Andalucía;11;Cádiz;11022;Línea de la Concepción, La;11231;563;2589;2231;584;2751;2513;113;979;2238;5740;2161
201301;Enero de 2013;1;Andalucía;11;Cádiz;11023;Medina-Sidonia;2731;138;724;463;139;727;540;237;151;519;1310;514
201301;Enero de 2013;1;Andalucía;11;Cádiz;11024;Olvera;824;71;236;184;75;182;76;184;48;113;405;74
201301;Enero de 2013;1;Andalucía;11;Cádiz;11025;Paterna de Rivera;1385;109;421;214;83;374;184;71;103;658;378;175
201301;Enero de 2013;1;Andalucía;11;Cádiz;11026;Prado del Rey;1247;71;286;252;69;331;238;79;260;163;583;162
201301;Enero de 2013;1;Andalucía;11;Cádiz;11027;Puerto de Santa María, El;12898;552;2991;2314;569;3498;2974;121;1011;1874;7726;2166
201301;Enero de 2013;1;Andalucía;11;Cádiz;11028;Puerto Real;7358;376;2010;1102;428;2127;1315;68;1016;987;4123;1164
201301;Enero de 2013;1;Andalucía;11;Cádiz;11029;Puerto Serrano;712;96;221;146;96;122;31;186;8;111;328;79
201301;Enero de 2013;1;Andalucía;11;Cádiz;11030;Rota;4441;240;1041;774;264;1323;799;39;592;691;2570;549
