"anio","Cod CA","Cod provincia","poblacion_hombres","poblacion_mujeres","poblacion_total"
2019,"01","41",949212,993177,1942389
2019,"02","22",104127,75582,216717
2019,"02","44",51439,49281,100054
2019,"02","50",468632,490922,957079
2019,"03","33",488137,534663,1022800
2019,"04","07",572757,576703,1149460
2019,"05","35",557774,562632,1120406
2019,"05","38",508197,524786,1032983
2019,"06","39",270470,282591,550028
2019,"07","05",79071,50399,148469
2019,"07","09",174126,177090,356958
2019,"07","24",210622,233728,443072
2019,"07","34",43835,81172,153735
2019,"07","37",159275,166533,323054
2019,"07","40",75427,72050,153129
2019,"07","42",44814,43822,81697
2019,"07","47",248482,251093,486291
2019,"07","49",85341,85929,172539
2019,"08","02",191769,188046,387114
2019,"08","13",225140,235683,484304
2019,"08","16",87535,97787,139143
2019,"08","19",125026,126103,253460
2019,"08","45",339271,323623,643643
2019,"09","08",2762689,2901890,5664579
2019,"09","17",367055,374505,694913
2019,"09","25",210096,200903,414527
2019,"09","43",379685,335942,766468
2019,"10","03",920915,937768,1858683
2019,"10","12",283883,285234,510869
2019,"10","46",1256350,1308774,2565124
2019,"11","06",318415,331915,659222
2019,"11","10",186478,198763,382316
2019,"12","15",536470,583126,1119596
2019,"12","27",154331,165455,302848
2019,"12","32",137784,154000,298210
2019,"12","36",383052,456824,916142
2019,"13","28",3187312,3476082,6663394
2019,"14","30",747615,746283,1493898
2019,"15","31",296640,321034,623929
2019,"16","01",155894,163325,320083
2019,"16","20",315311,348586,682419
2019,"16","48",556212,596439,1152651
2019,"17","26",143057,142817,277342
2019,"18","51",42912,41865,84777
2020,"01","04",367652,334697,712366
2020,"01","11",613561,630488,1244049
2020,"01","14",353195,397161,757520
2020,"01","18",431697,452749,758761
2020,"01","21",247697,235388,479044
2020,"01","23",271639,295203,597046
2020,"01","29",825450,860470,1685920
2020,"01","41",952695,997524,1950219
2020,"02","22",112479,101217,221409
2020,"02","44",67975,63618,100615
2020,"02","50",459573,483489,946437
2020,"03","33",486066,532718,1018784
2020,"04","07",584298,587245,1171543
2020,"05","35",562694,568371,1131065
2020,"05","38",513491,531396,1044887
2020,"06","39",273568,291418,516386
2020,"07","05",77030,78555,141716
2020,"07","09",178578,178145,322379
2020,"07","24",203157,231322,433309
2020,"07","34",79457,79901,159214
2020,"07","37",152261,164429,312910
2020,"07","40",77033,76445,145882
2020,"07","42",43226,42751,88884
2020,"07","47",248617,253249,511937
2020,"07","49",80535,86219,168959
2020,"08","02",191867,192029,348715
2020,"08","13",222783,236037,482409
2020,"08","16",98430,87989,187580
2020,"08","19",125603,126024,247901
2020,"08","45",331039,291724,659087
2020,"09","08",2804316,2939086,5743402
2020,"09","17",363535,331538,737220
2020,"09","25",219588,212512,421345
2020,"09","43",380404,318054,791023
2020,"10","03",931856,948032,1879888
2020,"10","12",272115,292235,557627
